song,songLabel,contributor,contributorLabel,role,album,albumLabel,genre,genreLabel,recordLabel,recordLabelLabel,country,countryLabel,releaseDate
http://www.wikidata.org/entity/Q58895468,Say My Name,http://www.wikidata.org/entity/Q8298,David Guetta,performer,,,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q208909,Parlophone,http://www.wikidata.org/entity/Q142,France,
http://www.wikidata.org/entity/Q58895468,Say My Name,http://www.wikidata.org/entity/Q8298,David Guetta,performer,,,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q843402,Warner Bros. Records,http://www.wikidata.org/entity/Q142,France,
http://www.wikidata.org/entity/Q58895468,Say My Name,http://www.wikidata.org/entity/Q8298,David Guetta,performer,,,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q62554847,What a Music,http://www.wikidata.org/entity/Q142,France,
http://www.wikidata.org/entity/Q23017971,Try Everything,http://www.wikidata.org/entity/Q181484,Sia,lyricist,,,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q54860,Walt Disney Records,http://www.wikidata.org/entity/Q408,Australia,
http://www.wikidata.org/entity/Q28131843,Move Your Body,http://www.wikidata.org/entity/Q181484,Sia,lyricist,,,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q202585,RCA Records,http://www.wikidata.org/entity/Q408,Australia,
http://www.wikidata.org/entity/Q28131843,Move Your Body,http://www.wikidata.org/entity/Q181484,Sia,lyricist,,,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q202585,RCA Records,http://www.wikidata.org/entity/Q408,Australia,
http://www.wikidata.org/entity/Q22043182,Send My Love (To Your New Lover),http://www.wikidata.org/entity/Q23215,Adele,composer,,,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q1123947,XL Recordings,http://www.wikidata.org/entity/Q145,United Kingdom,
http://www.wikidata.org/entity/Q22043182,Send My Love (To Your New Lover),http://www.wikidata.org/entity/Q23215,Adele,composer,,,http://www.wikidata.org/entity/Q850412,contemporary R&B,http://www.wikidata.org/entity/Q1123947,XL Recordings,http://www.wikidata.org/entity/Q145,United Kingdom,
http://www.wikidata.org/entity/Q58412573,Baby,http://www.wikidata.org/entity/Q234174,Marina Diamandis,lyricist,,,http://www.wikidata.org/entity/Q9778,electronic music,http://www.wikidata.org/entity/Q202440,Atlantic Records,http://www.wikidata.org/entity/Q41,Greece,
http://www.wikidata.org/entity/Q58412573,Baby,http://www.wikidata.org/entity/Q234174,Marina Diamandis,lyricist,,,http://www.wikidata.org/entity/Q547137,Latin pop,http://www.wikidata.org/entity/Q202440,Atlantic Records,http://www.wikidata.org/entity/Q41,Greece,
http://www.wikidata.org/entity/Q58412573,Baby,http://www.wikidata.org/entity/Q234174,Marina Diamandis,lyricist,,,http://www.wikidata.org/entity/Q9778,electronic music,http://www.wikidata.org/entity/Q202440,Atlantic Records,http://www.wikidata.org/entity/Q145,United Kingdom,
http://www.wikidata.org/entity/Q58412573,Baby,http://www.wikidata.org/entity/Q234174,Marina Diamandis,lyricist,,,http://www.wikidata.org/entity/Q547137,Latin pop,http://www.wikidata.org/entity/Q202440,Atlantic Records,http://www.wikidata.org/entity/Q145,United Kingdom,
http://www.wikidata.org/entity/Q23853630,Let Me Love You,http://www.wikidata.org/entity/Q15615,Lil Wayne,performer,,,http://www.wikidata.org/entity/Q850412,contemporary R&B,http://www.wikidata.org/entity/Q4413456,Republic Records,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q918493,Skyscraper,http://www.wikidata.org/entity/Q106567,Toby Gad,producer,,,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q387539,Hollywood Records,http://www.wikidata.org/entity/Q183,Germany,
http://www.wikidata.org/entity/Q22918941,New Romantics,http://www.wikidata.org/entity/Q286501,Shellback,lyricist,http://www.wikidata.org/entity/Q17544553,1989,http://www.wikidata.org/entity/Q1298934,synth-pop,http://www.wikidata.org/entity/Q2902300,Big Machine Records,http://www.wikidata.org/entity/Q34,Sweden,
http://www.wikidata.org/entity/Q22918941,New Romantics,http://www.wikidata.org/entity/Q286501,Shellback,lyricist,http://www.wikidata.org/entity/Q17544553,1989,http://www.wikidata.org/entity/Q1298934,synth-pop,http://www.wikidata.org/entity/Q4413456,Republic Records,http://www.wikidata.org/entity/Q34,Sweden,
http://www.wikidata.org/entity/Q3640789,Blackbird,http://www.wikidata.org/entity/Q289003,Myles Kennedy,lyricist,,,http://www.wikidata.org/entity/Q38848,heavy metal music,http://www.wikidata.org/entity/Q693194,Napalm Records,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q3640789,Blackbird,http://www.wikidata.org/entity/Q289003,Myles Kennedy,lyricist,,,http://www.wikidata.org/entity/Q38848,heavy metal music,http://www.wikidata.org/entity/Q1025106,Universal Republic Records,http://www.wikidata.org/entity/Q30,United States,
